Year,ACC,Big_Ten,Big_12,Pac_12,SEC,Other,Height_IN,Weight_LBS,Wonderlic,40_Yard,Bench_Press,Vert_Leap_IN,Broad_Jump_IN,Shuttle,3Cone,Started
2006,0,0,0,0,0,0,73.38,217,NA,4.63,NA,34,107,4.16,7.12,Yes
2006,0,0,0,0,0,0,71.63,239,40,4.86,NA,33,110,4.69,7.62,No
2006,0,0,0,0,0,1,74,226,19,4.7,22,31.5,107,4.38,7.4,Yes
2006,0,0,0,0,0,1,75.88,232,38,4.86,NA,32.5,108,4.29,7.47,No
2006,0,0,0,0,0,0,74.38,216,37,4.74,NA,35,111,4.07,6.93,No
2006,0,0,0,0,0,0,74.25,220,30,4.72,NA,36,111,4.17,7.13,Yes
2006,0,0,0,0,0,1,74,198,NA,4.43,NA,32,121,4.25,6.96,Yes
2006,0,0,0,0,0,1,73,210,NA,4.7,NA,32.5,112,4.12,6.83,No
2006,0,0,0,0,0,0,76,226,NA,4.65,NA,32.5,114,4.26,6.94,No
2006,0,0,0,0,0,1,76.88,232,NA,5.14,NA,29,110,4.49,7.36,No
2006,1,0,0,0,0,0,76.63,233,NA,4.72,NA,33.5,116,4.1,6.76,No
2006,0,0,0,0,0,1,73.13,214,19,4.61,NA,37.5,121,4.17,7.07,No
2006,0,0,0,0,0,1,76.75,216,NA,4.64,NA,35,122,4.47,7.41,No
2006,1,0,0,0,0,0,72,200,11,4.51,NA,36,117,4.08,6.94,No
2006,1,0,0,0,0,1,76.75,223,33,4.76,NA,33,112,4.11,7,Yes
2006,0,0,1,0,1,0,76.6,229,15,4.48,NA,NA,NA,NA,NA,Yes
2005,0,0,0,0,0,0,74.25,218,19,5,NA,27.5,106,4.39,7.29,No
2005,0,0,0,1,0,1,78.13,242,23,5.06,NA,29,101,4.62,7.67,Yes
2005,1,0,0,0,0,1,73.5,221,13,4.89,NA,29,106,4.54,7.49,No
2005,0,0,0,0,0,1,73,211,26,5.1,NA,29,103,4.2,7.24,No
2005,0,0,0,0,0,1,74.13,222,NA,4.84,NA,33,108,4.34,7.41,No
2005,0,0,0,0,0,0,74.38,232,48,4.87,NA,30.5,103,4.07,7.09,Yes
2005,0,0,0,0,0,0,75.88,225,38,4.85,NA,33,109,4.08,6.94,Yes
2005,0,0,0,0,0,0,75.5,226,21,4.8,NA,31.5,113,4.1,7,No
2005,0,0,1,0,0,1,75.75,229,30,5.04,NA,29,97,4.52,7.41,No
2005,0,0,0,0,0,0,74,215,30,4.68,NA,33,113,4.07,6.89,No
2005,1,0,0,0,0,1,72.13,208,35,4.61,NA,31,111,4.09,7.03,No
2005,0,0,0,0,0,0,74.5,208,NA,4.69,NA,30.5,108,4.08,6.77,No
2005,1,0,0,0,0,0,75.5,218,26,4.73,22,34.5,128,4.08,6.93,No
2005,0,0,0,0,1,0,73.75,218,NA,4.91,NA,28.5,101,4.13,7.03,No
2005,0,0,0,0,1,0,77,225,30,4.98,NA,29.5,105,4.39,7.33,Yes
2005,0,1,0,0,0,1,76,233,27,5.11,NA,26.5,NA,4.52,7.38,Yes
2005,1,0,0,0,0,1,72.25,225,19,4.72,NA,33,112,4.08,6.97,No
2005,1,0,0,0,0,1,74,214,26,4.73,NA,33.5,113,4.53,7.53,No
2005,0,0,0,1,0,1,76.13,217,40,4.78,NA,32,113,3.96,6.82,Yes
2005,0,0,1,0,0,1,74.5,223,31,4.93,NA,31,102,4.19,7.28,No
2004,0,0,0,1,0,1,75.9,226,26,4.95,NA,30.5,113,4.18,7.28,No
2004,0,0,0,0,0,1,73.5,238,25,4.84,NA,31,115,NA,NA,No
2004,0,0,0,0,1,0,76.3,222,NA,4.85,NA,26.5,110,4.22,7.69,No
2004,0,1,0,0,0,1,75.5,228,38,4.84,NA,28,112,4.08,7.22,Yes
2004,0,0,0,0,0,1,74.3,224,31,4.7,NA,33,116,NA,NA,Yes
2004,0,0,0,0,0,1,76.8,221,39,4.9,NA,NA,NA,NA,NA,Yes
2004,0,0,0,0,0,0,75.9,208,24,4.71,NA,37.5,125,4.21,6.74,Yes
2004,0,1,0,0,1,0,78,246,24,5.18,NA,26.5,100,4.46,7.73,Yes
